Gene ID	Gene Name	ERR2707370	ERR2707361	ERR2707363	ERR2707367	ERR2707372	ERR2707365	ERR2707366	ERR2707368	ERR2707362	ERR2707369	ERR2707364	ERR2707371
ENSG00000000003	TSPAN6	868	1301	961	580	1521	406	792	759	1801	878	955	1053
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	1079	1605	1087	629	1628	524	938	968	2166	1184	1117	1123
ENSG00000000457	SCYL3	168	126	92	99	283	61	153	84	178	126	138	217
ENSG00000000460	C1orf112	193	386	270	262	397	121	302	209	520	259	254	246
ENSG00000000938	FGR	0	3	0	0	0	2	2	0	0	0	2	0
ENSG00000000971	CFH	517	1947	1276	187	997	654	1138	168	2711	221	1379	645
ENSG00000001036	FUCA2	1137	2587	1802	887	2097	703	1520	1079	3485	1109	1708	1364
ENSG00000001084	GCLC	600	961	633	531	1032	225	406	475	1227	578	474	669
ENSG00000001167	NFYA	541	918	564	425	837	192	411	398	1120	520	444	632
ENSG00000001460	STPG1	82	172	101	39	146	47	134	52	235	48	118	78
ENSG00000001461	NIPAL3	396	1246	751	454	634	283	761	375	1433	428	595	467
ENSG00000001497	LAS1L	1039	2432	1652	916	1875	392	889	1011	3091	1107	889	1219
ENSG00000001561	ENPP4	99	0	0	110	175	0	0	90	0	106	0	93
ENSG00000001617	SEMA3F	295	2443	1651	348	541	361	652	180	2919	248	733	424
ENSG00000001626	CFTR	1	0	0	0	3	0	0	0	1	0	0	0
ENSG00000001629	ANKIB1	1102	1684	995	1290	1715	456	867	1014	2149	1428	1073	1240
ENSG00000001630	CYP51A1	90	195	109	142	146	21	39	142	254	164	37	126
ENSG00000001631	KRIT1	180	173	117	140	278	67	115	149	218	159	144	212
ENSG00000002016	RAD52	157	176	124	78	271	71	202	80	266	92	202	179
ENSG00000002079	MYH16	14	4	4	10	18	0	4	4	4	5	5	17
ENSG00000002330	BAD	345	603	428	218	593	126	330	329	758	309	301	421
ENSG00000002549	LAP3	735	1108	783	727	1207	256	472	936	1517	1041	454	781
ENSG00000002586	CD99	941	971	764	644	1742	233	517	994	1202	946	582	1225
ENSG00000002587	HS3ST1	362	3387	2272	869	700	450	823	816	4019	1012	989	471
ENSG00000002726	AOC1	5	129	89	1	6	305	713	1	184	1	605	6
ENSG00000002745	WNT16	6	18	22	0	27	7	13	3	22	0	13	18
ENSG00000002746	HECW1	27	0	0	6	39	0	1	4	0	3	0	22
ENSG00000002822	MAD1L1	937	864	625	755	1730	220	600	778	1073	889	469	1044
ENSG00000002834	LASP1	6371	5357	3383	3939	10931	1835	4570	3438	6614	4059	4480	7634
ENSG00000002919	SNX11	402	393	246	333	733	135	272	341	520	369	260	456
ENSG00000002933	TMEM176A	0	1	2	0	0	0	7	0	4	0	5	0
ENSG00000003056	M6PR	1905	3585	2403	1744	3330	692	1485	1782	4630	2270	1797	2293
ENSG00000003096	KLHL13	146	223	192	158	301	22	51	136	356	173	41	183
ENSG00000003137	CYP26B1	394	393	264	203	749	96	180	137	484	201	295	493
ENSG00000003147	ICA1	133	80	54	117	268	63	119	140	97	131	132	179
ENSG00000003249	DBNDD1	188	4	2	134	335	3	8	89	13	109	15	279
ENSG00000003393	ALS2	491	516	305	366	775	177	438	265	618	346	423	549
ENSG00000003400	CASP10	116	183	110	102	208	51	242	79	210	112	156	145
ENSG00000003402	CFLAR	388	309	190	320	604	114	270	206	345	277	261	445
ENSG00000003436	TFPI	726	706	526	339	1209	283	689	470	985	570	661	816
